,model,labeling,split_percent,pretrain,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
0,CA_adam,balanced,25,False,2.189502239227295,1799.0,286.0,1746.0,233.0,0.8722932934761047,0.8628297448158264,0.8853346705436707,0.8949100971221924,0.8739373495423886,0.8702031741163327
1,CA_adam,expanded,3,False,8.248109817504883,4009.0,1301.0,4187.0,1479.0,0.7467201352119446,0.7549905776977539,0.7305029034614563,0.7625714540481567,0.7425449065772657,0.7466476203506905
2,CA_adam,balanced,10,False,6.069069862365723,1787.0,384.0,1646.0,247.0,0.844734251499176,0.8231229782104492,0.8785644173622131,0.8569910526275635,0.8499405491871185,0.840809283974136
3,CA_adam,balanced,50,False,1.5814979076385498,1881.0,347.0,1683.0,153.0,0.876968502998352,0.8442549109458923,0.9247787594795227,0.9026852250099182,0.8826841707781443,0.8694915064185695
4,CA_adam,balanced,1,False,43.199073791503906,1627.0,603.0,1431.0,403.0,0.7524606585502625,0.7295964360237122,0.80147784948349,0.7549777030944824,0.7638497858271983,0.7520801448720077
5,CA_adam,balanced,100,False,0.8302752375602722,1679.0,221.0,1811.0,353.0,0.8587598204612732,0.8836842179298401,0.8262795209884644,0.9171805381774902,0.8540183112397786,0.8636831298938275
6,CA_adam,expanded,25,False,1.3387569189071655,3980.0,908.0,4582.0,1506.0,0.7800655961036682,0.814238965511322,0.7254830598831177,0.8468350768089294,0.7673028851086168,0.7823352243218683
7,CA_adam,expanded,50,False,0.7631823420524597,4074.0,663.0,4823.0,1416.0,0.8105867505073547,0.8600379824638367,0.7420765161514282,0.892205536365509,0.7967145798084798,0.816760220175384
8,CA_adam,balanced,3,False,18.838003158569336,1582.0,362.0,1669.0,451.0,0.7999507784843445,0.8137860298156738,0.7781603336334229,0.8048199415206909,0.7955745532727329,0.8015537982915569
9,CA_adam,expanded,10,False,2.9148030281066895,4615.0,1293.0,4196.0,872.0,0.8027514815330505,0.7811442017555237,0.8410789370536804,0.8302179574966431,0.8100043935761593,0.8001502633427966
10,CA_adam,expanded,1,False,42.83740234375,3755.0,1334.0,4158.0,1729.0,0.7209365963935852,0.7378659844398499,0.6847192049026489,0.7247540950775146,0.7102998315677331,0.7192568072796268
11,CA_adam,expanded,100,False,0.5237974524497986,4861.0,1221.0,4265.0,629.0,0.8314504623413086,0.799243688583374,0.8854280710220337,0.9009071588516235,0.8401313709023847,0.8260451080837746
